"Timestamp","Você fez sexo nos últimos 5 anos?","Nos últimos 5 anos, teve relações sexuais sem preservativo?","Com quantos parceiros teve relações sexuais nos últimos 5 anos?","Que práticas sexuais realizou nos últimos 5 anos? (Escolha todas as opções que se apliquem)","Nos últimos 5 anos, teve relações sexuais depois de consumir: (Escolha todas as opções que se apliquem)","Considera que sexo seguro é algo a levar em consideração por todos?","Nos últimos 5 anos, fez análises a DSTs (doenças sexualmente transmissíveis)? (sífilis, clamídia, gonorréia, trato genital, hepatite, hpv)","Nos últimos 5 anos, fez análises a VIH (Vírus da Imunodeficiência humana)?","Onde aprendeu o que sabe sobre comportamentos e práticas sexuais? (Escolha todas as opções que se apliquem)","O que é, para si, sexo seguro? (Escolha todas as opções que se apliquem)","Sexo","Qual é o seu nível de educação?","Qual é a sua idade?","A sua área de residência é…","Qual é a sua situação profissional?","Qual é a sua orientação sexual?","Qual o seu estado civil?","Como descreveria as suas relações nos últimos 5 anos?"
"2019/04/17 2:12:52 pm CET","Não","","","","","","","","","","","","","","","","",""
"2019/04/17 2:13:21 pm CET","Sim","Sim","Com um parceiro","Sexo vaginal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Nada","Sim","Sim, fiz uma vez.","Sim, fiz uma vez.","Pornografia (filmes e revistas);Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Fazer análises a DSTs regularmente.;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","26-33","Uma cidade com menos de 50.000 habitantes.","Empregado","Homossexual","Numa relação homossexual","Fechadas"
"2019/04/17 2:13:22 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal);Fisting","Álcool","Sim","Sim, faço regularmente, com um intervalo de três a seis meses.","Sim, faço regularmente, com um intervalo de três a seis meses.","Escola e educação sexual.;Familia;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Fazer análises a DSTs regularmente.;Usar de preservativo","Homem","Mestrado","26-33","Uma cidade com menos de 50.000 habitantes.","Desempregado","Homossexual","Divorciado","Fechadas"
"2019/04/17 2:15:39 pm CET","Sim","Sim","Com um parceiro","Sexo vaginal;Sexo oral;Masturbação","Álcool","Sim","Não, não preciso fazer porque tenho o mesmo parceiro há mais de 5 anos.","Não, não preciso fazer porque tenho o mesmo parceiro há mais de 5 anos.","Familia;Internet;Amogis e colegas;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo","Mulher","Licenciatura","34-41","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Empregado","Heterossexual","Solteiro","Fechadas"
"2019/04/17 2:16:24 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Não","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, faço, pelo menos, uma vez por ano.","Internet;Amogis e colegas;Livros e publicações científicas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Ter relações apenas com um parceiro;Usar métodos contracetivos","Homem","Secundária","42-49","Uma cidade que tem entre 100.000 a 250.000 habitantes.","Empregado","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 2:17:48 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool;Drogas","Sim","Sim, fiz uma vez.","Não, sou saudável. Sei que não preciso porque não tenho sintomas.","Escola e educação sexual.;Familia;Internet;Amogis e colegas;Livros e publicações científicas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Usar PEP (profilaxia pós-exposição);Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição);Ter relações apenas com um parceiro;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Estudante universitário","Homossexual","Numa relação homossexual","Fechadas"
"2019/04/17 2:19:52 pm CET","Sim","Sim","6-10","Sexo vaginal;Sexo oral;Masturbação","Nao ","Sim","Não, todos os meus parceiros são saudáveis.","Não, todos os meus parceiros são saudáveis.","Escola e educação sexual.;Internet","Ter contactos sexuais conscientes.;Usar de preservativo;Ter relações apenas com um parceiro","Mulher","Licenciatura","18-25","Uma cidade com menos de 50.000 habitantes.","Estudante universitário","Heterossexual","Solteira","Fechadas"
"2019/04/17 2:21:16 pm CET","Sim","Sim","21-50","Sexo anal;Sexo oral;Masturbação;Fisting","Álcool;Drogas;Marijuana;Opiáceos e / ou benzodiazepínicos;Poppers","Sim","Sim, fiz duas ou três vezes.","Sim, fiz duas ou três vezes.","Pornografia (filmes e revistas);Internet;Amogis e colegas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Usar utensílios descartáveis na prática de sexo com “Chemsex”;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Usar PEP (profilaxia pós-exposição);Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição)","Homem","Secundária","34-41","Uma cidade com mais de 1 milhão de habitantes.","Empregado","Homossexual","Numa relação homossexual","Maioritariamente abertas"
"2019/04/17 2:21:35 pm CET","Sim","Não","Com um parceiro","Sexo vaginal;Sexo oral;Masturbação","Nada","Sim","Sim, fiz uma vez.","Não, todos os meus parceiros são saudáveis.","Amogis e colegas;Livros e publicações científicas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Auto observação e análise genital;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Empregado","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 2:21:56 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo anal;Sexo oral;Masturbação","Álcool;Marijuana","Sim","Sim, faço regularmente, com um intervalo de três a seis meses.","Sim, faço regularmente, com um intervalo de três a seis meses.","Escola e educação sexual.;Familia;Internet;Amogis e colegas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 2:23:27 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Nenhuns","Sim","Sim, faço regularmente, com um intervalo de três a seis meses.","Sim, faço regularmente, com um intervalo de três a seis meses.","Internet;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Usar desinfetante na pele e nas membranas mucosas.;Ter contactos sexuais conscientes.;Usar lubrificante.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Usar PEP (profilaxia pós-exposição);Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição);Usar métodos contracetivos","Mulher","Licenciatura","26-33","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","É complicado"
"2019/04/17 2:24:33 pm CET","Sim","Sim","6-10","Sexo vaginal;Sexo oral;Masturbação","Álcool","Sim","Sim, fiz uma vez.","Não, sou saudável. Sei que não preciso porque não tenho sintomas.","Internet","Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Usar de preservativo;Usar métodos contracetivos","Mulher","Secundária","18-25","Uma cidade com menos de 50.000 habitantes.","Desempregado","Heterossexual","Numa relação heterossexual","Maioritariamente fechadas"
"2019/04/17 2:25:42 pm CET","Sim","Sim","6-10","Sexo vaginal;Sexo anal;Sexo oral;Masturbação","Álcool","Sim","Sim, fiz uma vez.","Não, não estou interessado em saber.","Escola e educação sexual.;Internet","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Estudante universitário","Heterossexual","Solteira","Abertas"
"2019/04/17 2:27:25 pm CET","Sim","Sim","6-10","Sexo vaginal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, fiz duas ou três vezes.","Internet;Livros e publicações científicas","Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade com menos de 50.000 habitantes.","Empregado","Heterossexual","Numa relação heterossexual","Maioritariamente fechadas"
"2019/04/17 2:28:02 pm CET","Sim","Sim","6-10","Sexo anal;Sexo oral;Masturbação","nao","Sim","Sim, fiz uma vez.","Sim, fiz uma vez.","Escola e educação sexual.;Familia;Internet;Amogis e colegas;Livros e publicações científicas","Informar o parceiro sexual de uma possível infeção.;Usar utensílios descartáveis na prática de sexo com “Chemsex”;Ter contactos sexuais conscientes.;Usar lubrificante.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Análises regulares a VIH e Hepatite B;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição)","Homem","Mestrado","26-33","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Estudante universitário","Homossexual","Casado com alguém do mesmo sexo","Maioritariamente fechadas"
"2019/04/17 2:28:21 pm CET","Não","","","","","","","","","","","","","","","","",""
"2019/04/17 2:28:22 pm CET","Sim","Sim","Mais de 100","Sexo anal;Sexo oral;Masturbação","nehuma ","Não. Porquê? A quem não se aplica? (Por favor insira a resposta em ""outro"")","Sim, fiz uma vez.","Não, não estou interessado em saber.","Escola e educação sexual.;Familia","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Usar PEP (profilaxia pós-exposição)","Homem","Ensino profissional","18-25","Uma cidade com menos de 50.000 habitantes.","Empregado","Bissexual","solteiro","Abertas"
"2019/04/17 2:31:12 pm CET","Sim","Não","Com um parceiro","Masturbação","Nenhuma","Sim","Não, não preciso fazer porque tenho o mesmo parceiro há mais de 5 anos.","Não, não preciso fazer porque tenho o mesmo parceiro há mais de 5 anos.","Escola e educação sexual.;Pornografia (filmes e revistas);Internet;Livros e publicações científicas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Usar lubrificante.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Ter relações apenas com um parceiro;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade com mais de 1 milhão de habitantes.","Estudante universitário","Heterossexual","Solteira","É complicado"
"2019/04/17 2:33:20 pm CET","Sim","Sim","11-20","Sexo anal;Sexo oral;Masturbação","Álcool","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, faço, pelo menos, uma vez por ano.","Escola e educação sexual.;Internet;Amogis e colegas;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Ter contactos sexuais conscientes.;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo;Usar métodos contracetivos","Homem","Secundária","26-33","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Empregado","Homossexual","Numa relação homossexual","Abertas"
"2019/04/17 2:36:24 pm CET","Sim","Sim","Com um parceiro","Sexo vaginal;Sexo oral","Nenhuma ","Sim","Não, uso sempre preservativo.","Não, uso sempre preservativo.","Escola e educação sexual.;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo;Usar métodos contracetivos","Mulher","Secundária","18-25","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Estudante","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 2:38:06 pm CET","Sim","Sim","6-10","Sexo anal;Sexo oral;Masturbação","Álcool","Sim","Sim, fiz duas ou três vezes.","Sim, fiz duas ou três vezes.","Familia;Internet;Amogis e colegas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Análises regulares a VIH e Hepatite B;Usar de preservativo","Homem","Mestrado","34-41","Uma cidade com mais de 1 milhão de habitantes.","Empregado","Homossexual","Numa relação homossexual","Maioritariamente fechadas"
"2019/04/17 2:41:10 pm CET","Sim","Sim","11-20","Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool","Sim","Sim, fiz duas ou três vezes.","Sim, fiz duas ou três vezes.","Internet;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Fazer análises a DSTs regularmente.;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo","Homem","Mestrado","50-57","Uma cidade com mais de 1 milhão de habitantes.","Empregado","Homossexual","Casado com alguém do mesmo sexo","Abertas"
"2019/04/17 2:41:54 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação","Nada","Sim","Não, todos os meus parceiros são saudáveis.","Não, todos os meus parceiros são saudáveis.","Escola e educação sexual.;Familia;Internet","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Estudante universitário","Homossexual","Numa relação homossexual","Fechadas"
"2019/04/17 2:43:23 pm CET","Sim","Sim","Com um parceiro","Sexo vaginal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool","Sim","Não, não preciso fazer porque tenho o mesmo parceiro há mais de 5 anos.","Não, não preciso fazer porque tenho o mesmo parceiro há mais de 5 anos.","Escola e educação sexual.;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.","Mulher","Licenciatura","18-25","Uma cidade com menos de 50.000 habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 2:43:46 pm CET","Sim","Sim","Com um parceiro","Sexo vaginal;Masturbação","Álcool","Sim","Não, não preciso fazer porque tenho o mesmo parceiro há mais de 5 anos.","Não, não preciso fazer porque tenho o mesmo parceiro há mais de 5 anos.","Familia","Fazer análises a DSTs regularmente.;Usar de preservativo;Usar métodos contracetivos","Homem","Mestrado","34-41","Uma cidade com menos de 50.000 habitantes.","Empregado","Heterossexual","Casado com alguém do sexo oposto","Fechadas"
"2019/04/17 2:46:42 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, faço, pelo menos, uma vez por ano.","Escola e educação sexual.;Familia;Internet;Amogis e colegas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Estudante universitário","Heterossexual","Solteira","Maioritariamente fechadas"
"2019/04/17 2:51:29 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação","Álcool;Marijuana","Sim","Não, todos os meus parceiros são saudáveis.","Não, todos os meus parceiros são saudáveis.","Pornografia (filmes e revistas);Internet;Amogis e colegas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Homem","Licenciatura","18-25","Uma cidade com menos de 50.000 habitantes.","Empregado","Heterossexual","Solteiro mas com uma “amiga colorida”","Fechadas"
