"Timestamp","Вы занимались сексом в последние 5 лет?","Занимались ли Вы сексом без презерватива (хотя бы единожды) за последние 5 лет?","С каким количеством партнеров вы были сексуально активны за последние 5 лет?","Какое сексуальное поведение у Вас было в последние 5 лет? (Выберите все подходящие ответы)","В последние 5 лет был ли у Вас хоть единожды секс после: (Выберите все подходящие ответы)","Как Вы думаете, относится ли тема безопасного секса ко всем?","Проверялись ли Вы на ЗППП (заболевания, передающиеся половым путем) за последние 5 лет? (сифилис, хламидиоз, гонорея, генитальный герпес, гепатит, ВПЧ)","За последние 5 лет проходили ли вы тестирование на ВИЧ?","Откуда Ваши знания о сексуальном поведении и практиках? (Выберите все подходящие ответы)","Что для вас означает термин «безопасный секс»? (Выберите все подходящие ответы)","Ваш пол/гендер:","Какое у Вас образование?","Ваш возраст:","Ваше место жительства:","Каков Ваш род занятий?","Какая Ваша сексуальная ориентация?","Каков текущий статус Ваших отношений?","Описывая Ваши отношения за последние 5 лет (включая текущие), они были:"
"2019/04/12 12:19:52 am CET","Да","Нет","20-50","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя;попперса","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это регулярно каждые 3-6 месяцев","Школа, учеба, половое образование;Родители, семья, братья и сёстры;Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации;Врач, медсестра, акушерка","установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика);наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии);личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Мужчина","Бакалавр","18-25","город с населением от 500 000 до 1 миллиона человек","студент","Гомосексуал","Одинок/а","только открытыми"
"2019/04/12 1:14:46 am CET","Да","Да","11-20","Вагинальный секс;Анальный секс;Оральный секс;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя;попперса","Да","Нет, потому что я здоров. Я знаю, потому что у меня нет никаких симптомов","Да, я делаю это, по крайней мере, один раз в год.","Школа, учеба, половое образование;Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;использование дезинфицирующих средств для кожи и слизистых оболочек;использование одноразовых расходников для так называемого химсекса;использование лубриканта;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика);наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии);личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика)","Мужчина","Магистр","26-33","город с населением в 1 миллион человек и выше","работник","Гомосексуал","Одинок/а","только закрытыми"
"2019/04/12 5:10:26 am CET","Да","Да","20-50","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация;Фистинг","алкоголя;попперса","Да","Да, два или три раза","Да, два или три раза","Интернет","уведомление сексуального партнёра о возможной инфекции;использование дезинфицирующих средств для кожи и слизистых оболочек;разговор с сексуальным партнером до и/или после полового акта;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;анальный и/или оральный секс","Женщина","Профессионально-техническое образование","34-41","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В браке","сложно сказать"
"2019/04/12 9:36:08 am CET","Да","Да","11-20","Анальный секс;Оральный секс;Мастурбация","алкоголя;наркотиков;марихуаны;попперса","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;использование АРТ (антиретровирусной терапии);личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика);секс с одним постоянным партнером;секс, который не приводит к эякуляции","Мужчина","Магистр","42-49","город с населением от 50 до 100 тысяч человек","фрилансер - свободная профессия","Гомосексуал","Одинок/а","только закрытыми"
"2019/04/12 4:32:26 pm CET","Да","Да","С одним постоянным партнером","Анальный секс;Оральный секс;Мастурбация","алкоголя","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это, по крайней мере, один раз в год.","Интернет;Друзья, сотрудники","разговор с сексуальным партнером до и/или после полового акта;личная гигиена до и после полового акта;использование презервативов;анальный и/или оральный секс","Мужчина","Профессионально-техническое образование","42-49","город с населением от 100 до 250 тысяч человек","работник","Гомосексуал","В однополом партнерстве","преимущественно закрытыми"
"2019/04/12 4:33:20 pm CET","Да","Да","С одним постоянным партнером","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Да, два или три раза","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;использование презервативов","Мужчина","Доктор наук или выше","34-41","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В однополом партнерстве","только закрытыми"
"2019/04/12 4:40:04 pm CET","Да","Да","50-100","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Фистинг","алкоголя;наркотиков;марихуаны;попперса","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;использование дезинфицирующих средств для кожи и слизистых оболочек;использование одноразовых расходников для так называемого химсекса;установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика);использование АРТ (антиретровирусной терапии);личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика);секс с одним постоянным партнером","Мужчина","Средняя школа","18-25","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В однополом партнерстве","преимущественно открытыми"
"2019/04/12 4:44:35 pm CET","Да","Да","С одним постоянным партнером","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Интернет;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;использование презервативов;использование PrEP (пред-контактная профилактика);секс с одним постоянным партнером","Мужчина","Магистр","34-41","город с населением в 1 миллион человек и выше","работник","Бисексуал","В гомосексуальных отношениях","только закрытыми"
"2019/04/12 4:51:46 pm CET","Да","Нет","6-10","Анальный секс;Оральный секс;Мастурбация","алкоголя;попперса","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Интернет;Друзья, сотрудники;Книги и научные публикации;Врач, медсестра, акушерка","использование презервативов","Мужчина","инженер","42-49","город с населением до 50 тысяч человек","работник","Гомосексуал","Одинок/а","преимущественно закрытыми"
"2019/04/12 4:56:17 pm CET","Да","Да","2-5","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","ничего из вышеперечисленного","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Интернет","уведомление сексуального партнёра о возможной инфекции;использование лубриканта;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии);личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов","Мужчина","Магистр","26-33","город с населением от 100 до 250 тысяч человек","работник","Гомосексуал","В однополом браке","преимущественно закрытыми"
"2019/04/12 5:26:24 pm CET","Да","Да","С одним постоянным партнером","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Школа, учеба, половое образование;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером","Мужчина","Магистр","42-49","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В однополом партнерстве","преимущественно закрытыми"
"2019/04/12 9:38:52 pm CET","Да","Да","6-10","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Да, два или три раза","Да, однажды","Порнография (фильмы, журналы);Друзья, сотрудники","уведомление сексуального партнёра о возможной инфекции;использование дезинфицирующих средств для кожи и слизистых оболочек;использование лубриканта;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Мужчина","Магистр","26-33","город с населением в 1 миллион человек и выше","работник","Гомосексуал","Одинок/а","преимущественно закрытыми"
"2019/04/13 12:05:34 am CET","Да","Да","6-10","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация;Фистинг","алкоголя;марихуаны","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, однажды","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","уведомление сексуального партнёра о возможной инфекции;использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером;использование противозачаточных средств","Женщина","Магистр","26-33","город с населением в 1 миллион человек и выше","работник","Гетеросексуал","В гетеросексуальных отношениях","только закрытыми"
"2019/04/13 2:19:41 am CET","Да","Да","2-5","Анальный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, я делаю это регулярно каждые 3-6 месяцев","Zhiznj ","регулярные проверки на ВИЧ и гепатит В","Мужчина","Доктор наук или выше","58-65","город с населением до 50 тысяч человек","работодатель","Гомосексуал","В однополом партнерстве","только закрытыми"
"2019/04/13 7:26:08 am CET","Да","Да","2-5","Анальный секс;Оральный секс","ничего из вышеперечисленного","Да","Да, однажды","Да, однажды","Порнография (фильмы, журналы);Интернет","использование дезинфицирующих средств для кожи и слизистых оболочек;личная гигиена до и после полового акта;использование презервативов","Мужчина","инженер","26-33","город с населением в 1 миллион человек и выше","работник","Гомосексуал","В гомосексуальных отношениях","преимущественно закрытыми"
"2019/04/13 9:26:54 am CET","Да","Да","6-10","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;использование дезинфицирующих средств для кожи и слизистых оболочек;использование одноразовых расходников для так называемого химсекса;установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика);наблюдение и самоосмотр гениталий;использование АРТ (антиретровирусной терапии);личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика)","Мужчина","Магистр","42-49","город с населением в 1 миллион человек и выше","фрилансер - свободная профессия","Гомосексуал","Одинок/а","преимущественно открытыми"
