"Timestamp","In the last 5 years, have you had sex at least once?","In the last 5 years have you ever had sex without a condom?","With how many partners were you sexually active in the last 5 years?","Which sexual behaviors did you have in the last 5 years? (Choose all applicable answers)","In the last 5 years, have you ever had sex after:(Choose all applicable answers)","Do you think that the topic of safe sex applies to everyone?","In the last 5 years, have you been tested for STD’s (sexually transmitted diseases like Syphilis, Gonorrhea (The clap), Herpes simplex (HSV1), Hepatitis B, HPV)?","In the last 5 years, have you been tested for HIV?","Where does your knowledge about sexual behaviors and practices come from? (Choose all applicable answers)","What ""Safe sex"" means for you? (Choose all applicable answers)","Sex/Gender","Your age is in the range:","What is your education level?","Your place of residence is:","What is your professional situation?","What is your sexual orientation?","What is your current relationship status?","Describing your relationships from the last 5 years and the current situation, they were:"
"2019/04/09 3:12:01 pm CET","Yes","Yes","more than 100","Vaginal sex;Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration);Fisting","Alcohol;Drugs;Marijuana;Opioids and / or benzodiazepines (strong sedatives, antipsychotics, hypnotics, anxiolytics, antidepressants, analgesics and antitussives);Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;use of disposable equipment during the so-called chemsex;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis);sex with one regular partner;use of contraceptives","Male","26-33","Bachelor","City over 1 million","University student","Homosexual","Single","It's hard to say"
"2019/04/09 3:23:36 pm CET","Yes","Yes","2-5","Vaginal sex;Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","None of them","Yes","Yes, but only once","No, because all of my partners were healthy","School, studies, sex education;Parents, family, siblings","Informing the sexual partner about the possible infection;making conscious sexual contacts;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using a condom","Female","18-25","Master's degree","City from 100 to 250 thousand","University student","Heterosexual","Single","Mostly closed"
"2019/04/09 3:54:27 pm CET","Yes","No","51-100","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration);Rimming ","Alcohol;Marijuana","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications","conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;regular check-ups for HIV and hepatitis B;using a condom","Male","42-49","Master's degree","City over 1 million","Employee","Homosexual","In a homosexal relationship","Mostly open"
"2019/04/09 7:37:51 pm CET","Yes","Yes","11-20","Vaginal sex;Anal sex;Oral sex;Masturbation","Alcohol;Drugs;Marijuana;Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it at least once a year","School, studies, sex education;Parents, family, siblings;Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;use of disposable equipment during the so-called chemsex;making conscious sexual contacts;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","26-33","Secondary","City from 100 to 250 thousand","Employee","Bisexual","In a partnership","It's hard to say"
"2019/04/09 9:09:40 pm CET","Yes","Yes","2-5","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","None of them","No. Why? Who is not affected? (Put your answer into Other...);With permanent partner i wouldn't use a condom","Yes, I do it regularly every 3-6 months","Yes, I do it at least once a year","Pornography (movies, magazines);Internet","using lubricants;regular STD’s check-ups;regular check-ups for HIV and hepatitis B;using a condom;sex with one regular partner","Male","34-41","Engineer","City from 100 to 250 thousand","Employee","Homosexual","Single","It's hard to say"
"2019/04/10 10:06:57 am CET","Yes","Yes","21-50","Vaginal sex;Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration);Fisting","Alcohol;Drugs;Poppers","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","School, studies, sex education;Parents, family, siblings;Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;use of disposable equipment during the so-called chemsex;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;anal and / or oral sex","Male","26-33","Master's degree","City from 250 to 500 thousand","Freelancer - free profession","Homosexual","In a homosexal relationship","Only open"
"2019/04/11 10:32:32 am CET","Yes","Yes","21-50","Anal sex;Oral sex;Masturbation","Alcohol;Drugs;Marijuana","Yes","No, because all of my partners were healthy","Yes, I do it at least once a year","Internet;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","26-33","Engineer","City from 500 thousand to 1 million","Pensioner","Bisexual","In a homosexal relationship","Mostly closed"
"2019/04/11 10:35:21 am CET","Yes","Yes","51-100","Anal sex;Oral sex;Masturbation;Fisting","Alcohol;Drugs;Marijuana;Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;use of disinfectants on the skin and mucous membranes;use of disposable equipment during the so-called chemsex;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);use of treatment as prevention of HIV infection (TasP);personal hygiene before and after intercourse;sex with one regular partner;anal and / or oral sex","Male","26-33","Vocational education","City over 1 million","Freelancer - free profession","Homosexual","Single","Only closed"
"2019/04/11 10:35:31 am CET","Yes","Yes","11-20","Anal sex;Oral sex;Masturbation","Alcohol;Poppers","Yes","No, because I'm healthy. I know, because I have no symptoms","No, because I'm healthy. I know, because I have no symptoms","School, studies, sex education;Parents, family, siblings;Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;use of disposable equipment during the so-called chemsex;making conscious sexual contacts;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;sex with one regular partner;anal and / or oral sex","Male","34-41","Bachelor","Village","Employee","Homosexual","Single","Only open"
"2019/04/11 10:54:13 am CET","Yes","Yes","6-10","Anal sex;Oral sex;Masturbation","Alcohol;Marijuana;Poppers","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","Internet","Informing the sexual partner about the possible infection;conversation with a partner / spouse about possible risks;regular STD’s check-ups;personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom","Male","50-57","Master's degree","City over 1 million","Freelancer - free profession","Homosexual","Single","Mostly open"
"2019/04/11 10:55:34 am CET","Yes","Yes","21-50","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol;Poppers","Yes","Yes, two or three times","Yes, I do it at least once a year","School, studies, sex education;Pornography (movies, magazines);Internet;Books and scientific publications","Informing the sexual partner about the possible infection;using PEP (immediate post-exposure prophylaxis);use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","34-41","Master's degree","City over 1 million","Unemployed","Homosexual","In a homosexal relationship","Only closed"
"2019/04/11 11:44:13 am CET","Yes","Yes","6-10","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration);rimming","Alcohol;Marijuana;Poppers","Yes","Yes, I do it at least once a year","Yes, two or three times","School, studies, sex education;Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;regular STD’s check-ups;use of treatment as prevention of HIV infection (TasP);personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","26-33","Master's degree","City from 500 thousand to 1 million","Employee","Homosexual","In a homosexal relationship","Mostly closed"
"2019/04/11 11:55:41 am CET","Yes","Yes","I do not know, I do not count that","Anal sex;Oral sex;Masturbation;Fisting","Alcohol;Drugs;Marijuana;Opioids and / or benzodiazepines (strong sedatives, antipsychotics, hypnotics, anxiolytics, antidepressants, analgesics and antitussives);Poppers","Yes","Yes, I do it regularly every 3-6 months","No, because I'm not interested in it","School, studies, sex education;Internet;Books and scientific publications","Informing the sexual partner about the possible infection;use of disposable equipment during the so-called chemsex;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;regular STD’s check-ups;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom","Male","34-41","Master's degree","City over 1 million","Employee","Homosexual","Single","It's hard to say"
"2019/04/11 12:43:08 pm CET","Yes","Yes","11-20","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol;Drugs;Marijuana;Poppers","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","School, studies, sex education;Parents, family, siblings;Internet;Books and scientific publications;Doctor, nurse, midwife","using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis);anal and / or oral sex","Male","26-33","Engineer","City from 250 to 500 thousand","Employee","Homosexual","Single","Mostly closed"
"2019/04/11 12:45:45 pm CET","Yes","Yes","21-50","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","None of them","Yes","Yes, two or three times","Yes, two or three times","Internet;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;making conscious sexual contacts;regular STD’s check-ups;regular check-ups for HIV and hepatitis B;using a condom","Male","50-57","Bachelor","City over 1 million","Employee","Homosexual","In a same-sex partnership","Only open"
"2019/04/11 1:07:01 pm CET","Yes","Yes","2-5","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","None of them","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Books and scientific publications;Doctor, nurse, midwife","regular STD’s check-ups;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom","Male","34-41","Master's degree","City from 500 thousand to 1 million","Employer","Homosexual","In a same-sex partnership","Mostly closed"
"2019/04/11 1:31:47 pm CET","Yes","Yes","11-20","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol;Poppers","Yes","Yes, but only once","Yes, but only once","Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","use of disinfectants on the skin and mucous membranes;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using a condom;using PrEP (pre-exposure prophylaxis)","Male","58-65","Master's degree","City over 1 million","Pensioner","Homosexual","In a same-sex partnership","Only open"
"2019/04/11 3:06:00 pm CET","Yes","Yes","more than 100","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol;Drugs;Marijuana;Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly more often than every 3 months","Friends, collegues;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;use of disposable equipment during the so-called chemsex;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis);sex with one regular partner;use of contraceptives","Male","34-41","Master's degree","City from 500 thousand to 1 million","Freelancer - free profession","Homosexual","In a homosexal relationship","Mostly open"
"2019/04/11 6:23:33 pm CET","Yes","Yes","more than 100","Anal sex;Oral sex;Masturbation;Fisting","None of them","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Internet;Doctor, nurse, midwife","using a condom","Male","34-41","Master's degree","City over 1 million","Employee","Homosexual","Single","Mostly open"
"2019/04/11 6:46:11 pm CET","Yes","Yes","I do not know, I do not count that","Anal sex;Oral sex;Masturbation;Fisting","Alcohol;Drugs;Poppers","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","Internet;Friends, collegues","Informing the sexual partner about the possible infection;regular STD’s check-ups;observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using PrEP (pre-exposure prophylaxis)","Male","26-33","Master's degree","City over 1 million","University student","Homosexual","In a same-sex partnership","Mostly open"
"2019/04/11 10:14:25 pm CET","Yes","Yes","With one permanent partner","Anal sex;Oral sex;Masturbation;Fisting","Alcohol;Drugs;Poppers","Yes","Yes, I do it at least once a year","Yes, I do it regularly every 3-6 months","Pornography (movies, magazines);Internet","Informing the sexual partner about the possible infection;conversation with a partner / spouse about possible risks;regular STD’s check-ups","Male","42-49","PHD and higher","City from 50 to 100 thousand","Employer","Homosexual","In a homosexal relationship","Only closed"
"2019/04/11 10:22:48 pm CET","Yes","Yes","51-100","Anal sex;Oral sex;Masturbation","None of them","Yes","No, because I'm not interested in it","Yes, but only once","Pornography (movies, magazines);Internet;Church","using a condom","Male","26-33","PHD and higher","City over 1 million","Employee","Homosexual","In a homosexal relationship","Mostly closed"
"2019/04/11 10:48:24 pm CET","Yes","No","6-10","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","None of them","Yes","No, because I'm not interested in it","Yes, two or three times","Parents, family, siblings;Pornography (movies, magazines);Internet","making conscious sexual contacts;using lubricants;observation and genital self-examination;using a condom;sex with one regular partner;anal and / or oral sex","Male","26-33","Master's degree","City from 500 thousand to 1 million","Freelancer - free profession","Homosexual","In a same-sex partnership","Mostly closed"
"2019/04/12 11:02:49 am CET","Yes","Yes","With one permanent partner","Anal sex;Oral sex;Masturbation","Alcohol;Marijuana","Yes","No, I do not have to do this, because I have permanent partner longer than 5 years","No, I do not have to do this, because I have permanent partner longer than 5 years","Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications","Informing the sexual partner about the possible infection;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;sex with one regular partner","Male","26-33","Engineer","City from 250 to 500 thousand","Employee","Homosexual","In a homosexal relationship","Mostly closed"
"2019/04/12 4:17:54 pm CET","Yes","Yes","I do not know, I do not count that","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol","Yes","No, because I'm healthy. I know, because I have no symptoms","No, because I'm healthy. I know, because I have no symptoms","Internet;Friends, collegues;Books and scientific publications","Informing the sexual partner about the possible infection;use of disinfectants on the skin and mucous membranes;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis);sex with one regular partner","Male","34-41","Master's degree","City from 100 to 250 thousand","Employee","Homosexual","In a homosexal relationship","Mostly closed"
"2019/04/12 5:26:00 pm CET","Yes","Yes","more than 100","Anal sex;Oral sex;Masturbation","Alcohol","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Internet","conversation with a partner / spouse about possible risks;regular STD’s check-ups;using PrEP (pre-exposure prophylaxis)","Male","34-41","Master's degree","City over 1 million","Employee","Homosexual","In a same-sex partnership","Only open"
"2019/04/12 9:16:05 pm CET","Yes","Yes","2-5","Anal sex;Oral sex;Fisting","Alcohol;Drugs","Yes","Yes, two or three times","Yes, two or three times","Internet","Informing the sexual partner about the possible infection;conversation with a partner / spouse about possible risks;using a condom;sex with one regular partner","Male","50-57","Master's degree","City over 1 million","Employee","Homosexual","In a partnership","Mostly closed"
"2019/04/12 11:20:13 pm CET","Yes","Yes","21-50","Anal sex;Oral sex;Masturbation;Fisting","None of them","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","Internet;Books and scientific publications;Doctor, nurse, midwife","use of disinfectants on the skin and mucous membranes;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using PrEP (pre-exposure prophylaxis)","Male","42-49","PHD and higher","Village","Freelancer - free profession","Homosexual","In a same-sex marriage","Mostly open"
"2019/04/12 11:46:51 pm CET","Yes","No","more than 100","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration);Fisting","Alcohol;Drugs;Marijuana;Poppers","Yes","No, because I always use condomes","Yes, I do it at least once a year","Internet;Friends, collegues","Informing the sexual partner about the possible infection;regular check-ups for HIV and hepatitis B;using a condom","Male","26-33","Engineer","City over 1 million","Employee","Homosexual","In a same-sex marriage","Only open"
"2019/04/13 1:28:00 pm CET","Yes","Yes","51-100","Anal sex;Oral sex;Masturbation","Drugs;Marijuana","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Pornography (movies, magazines);Internet;Friends, collegues;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using PrEP (pre-exposure prophylaxis)","Male","26-33","Master's degree","City over 1 million","Employee","Homosexual","Single","Only open"
"2019/04/13 4:26:28 pm CET","Yes","Yes","With one permanent partner","Vaginal sex;Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration);Fisting","Alcohol;Marijuana","Yes","No, I do not have to do this, because I have permanent partner longer than 5 years","No, I do not have to do this, because I have permanent partner longer than 5 years","Pornography (movies, magazines);Internet;Books and scientific publications","conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis);sex with one regular partner","Male","26-33","Secondary","City over 1 million","Employee","Bisexual","In marriage","Only closed"
"2019/04/13 4:50:58 pm CET","Yes","Yes","6-10","Anal sex;Oral sex","Alcohol","Yes","Yes, I do it at least once a year","No, because I'm not interested in it","Internet;Friends, collegues","Informing the sexual partner about the possible infection;regular STD’s check-ups","Male","50-57","Vocational education","City over 1 million","Employee","Homosexual","3 way partnership ","Only open"
"2019/04/13 5:04:32 pm CET","Yes","Yes","21-50","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol;Marijuana;Poppers","Yes","Yes, I do it at least once a year","Yes, I do it regularly every 3-6 months","Internet","Informing the sexual partner about the possible infection;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis);sex with one regular partner;use of contraceptives","Male","18-25","Bachelor","City from 250 to 500 thousand","University student","Homosexual","Single","It's hard to say"
"2019/04/13 5:49:34 pm CET","Yes","Yes","With one permanent partner","Vaginal sex;Oral sex;Masturbation","Alcohol","Yes","No, I do not have to do this, because I have permanent partner longer than 5 years","No, I do not have to do this, because I have permanent partner longer than 5 years","Parents, family, siblings;Internet","Informing the sexual partner about the possible infection;making conscious sexual contacts;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;sex with one regular partner;use of contraceptives","Female","18-25","Secondary","City over 1 million","Employee","Heterosexual","In marriage","Only closed"
